source_id,area
1308,"Chemistry, Mathematics & Physics"
1485,"Chemistry, Mathematics & Physics"
1314,"Chemistry, Mathematics & Physics"
1319,"Chemistry, Mathematics & Physics"
1160,"Chemistry, Mathematics & Physics"
1502,"Chemistry, Mathematics & Physics"
1503,"Chemistry, Mathematics & Physics"
1680,"Chemistry, Mathematics & Physics"
1727,"Chemistry, Mathematics & Physics"
1330,"Chemistry, Mathematics & Physics"
1681,"Chemistry, Mathematics & Physics"
1182,"Chemistry, Mathematics & Physics"
1196,"Chemistry, Mathematics & Physics"
1522,"Chemistry, Mathematics & Physics"
1695,"Chemistry, Mathematics & Physics"
1348,"Chemistry, Mathematics & Physics"
1349,"Chemistry, Mathematics & Physics"
1589,Earth Sciences
1262,Earth Sciences
1079,Earth Sciences
1710,Earth Sciences
1451,Earth Sciences
1128,Earth Sciences
1163,Earth Sciences
1182,Earth Sciences
1516,Earth Sciences
1212,Economics & Development
1214,Economics & Development
1560,Economics & Development
1561,Economics & Development
1564,Economics & Development
1006,Economics & Development
1355,Economics & Development
1007,Economics & Development
1009,Economics & Development
1359,Economics & Development
1570,Economics & Development
1225,Economics & Development
1226,Economics & Development
1021,Economics & Development
1024,Economics & Development
1027,Economics & Development
1031,Economics & Development
1035,Economics & Development
1370,Economics & Development
1737,Economics & Development
1376,Economics & Development
1046,Economics & Development
1243,Economics & Development
1387,Economics & Development
1248,Economics & Development
1597,Economics & Development
1051,Economics & Development
1389,Economics & Development
1392,Economics & Development
1706,Economics & Development
1400,Economics & Development
1401,Economics & Development
1402,Economics & Development
1065,Economics & Development
1707,Economics & Development
1612,Economics & Development
1613,Economics & Development
1082,Economics & Development
1085,Economics & Development
1624,Economics & Development
1417,Economics & Development
1100,Economics & Development
1278,Economics & Development
1102,Economics & Development
1435,Economics & Development
1638,Economics & Development
1641,Economics & Development
1282,Economics & Development
1282,Economics & Development
1445,Economics & Development
1642,Economics & Development
1286,Economics & Development
1288,Economics & Development
1649,Economics & Development
1290,Economics & Development
1711,Economics & Development
1650,Economics & Development
1292,Economics & Development
1112,Economics & Development
1113,Economics & Development
1293,Economics & Development
1117,Economics & Development
1121,Economics & Development
1122,Economics & Development
1125,Economics & Development
1126,Economics & Development
1128,Economics & Development
1654,Economics & Development
1733,Economics & Development
1659,Economics & Development
1666,Economics & Development
1311,Economics & Development
1313,Economics & Development
1155,Economics & Development
1317,Economics & Development
1318,Economics & Development
1495,Economics & Development
1678,Economics & Development
1321,Economics & Development
1555,Economics & Development
1161,Economics & Development
1739,Economics & Development
1165,Economics & Development
1166,Economics & Development
1188,Economics & Development
1729,Economics & Development
1200,Economics & Development
1340,Economics & Development
1207,Economics & Development
1690,Economics & Development
1529,Economics & Development
1208,Economics & Development
1535,Economics & Development
1568,Education
1008,Education
1009,Education
1700,Education
1011,Education
1224,Education
1227,Education
1371,Education
1042,Education
1046,Education
1382,Education
1244,Education
1248,Education
1050,Education
1394,Education
1057,Education
1062,Education
1607,Education
1259,Education
1078,Education
1618,Education
1622,Education
1268,Education
1625,Education
1269,Education
1096,Education
1272,Education
1276,Education
1100,Education
1103,Education
1640,Education
1285,Education
1114,Education
1458,Education
1119,Education
1120,Education
1126,Education
1129,Education
1668,Education
1673,Education
1156,Education
1495,Education
1556,Education
1165,Education
1683,Education
1175,Education
1181,Education
1514,Education
1517,Education
1337,Education
1190,Education
1730,Education
1347,Education
1209,Education
1351,Environmental Sciences
1353,Environmental Sciences
1356,Environmental Sciences
1539,Environmental Sciences
1230,Environmental Sciences
1582,Environmental Sciences
1589,Environmental Sciences
1045,Environmental Sciences
1047,Environmental Sciences
1058,Environmental Sciences
1060,Environmental Sciences
1063,Environmental Sciences
1707,Environmental Sciences
1262,Environmental Sciences
1406,Environmental Sciences
1415,Environmental Sciences
1632,Environmental Sciences
1279,Environmental Sciences
1440,Environmental Sciences
1710,Environmental Sciences
1648,Environmental Sciences
1113,Environmental Sciences
1118,Environmental Sciences
1297,Environmental Sciences
1125,Environmental Sciences
1128,Environmental Sciences
1301,Environmental Sciences
1657,Environmental Sciences
1663,Environmental Sciences
1135,Environmental Sciences
1141,Environmental Sciences
1488,Environmental Sciences
1671,Environmental Sciences
1678,Environmental Sciences
1161,Environmental Sciences
1163,Environmental Sciences
1738,Environmental Sciences
1557,Environmental Sciences
1168,Environmental Sciences
1350,Environmental Sciences
1337,Environmental Sciences
1191,Environmental Sciences
1687,Environmental Sciences
1690,Environmental Sciences
1694,Environmental Sciences
1212,Finance & Management
1564,Finance & Management
1357,Finance & Management
1225,Finance & Management
1576,Finance & Management
1027,Finance & Management
1376,Finance & Management
1051,Finance & Management
1400,Finance & Management
1082,Finance & Management
1616,Finance & Management
1085,Finance & Management
1624,Finance & Management
1435,Finance & Management
1436,Finance & Management
1109,Finance & Management
1121,Finance & Management
1122,Finance & Management
1469,Finance & Management
1125,Finance & Management
1126,Finance & Management
1733,Finance & Management
1474,Finance & Management
1155,Finance & Management
1555,Finance & Management
1325,Finance & Management
1510,Finance & Management
1172,Finance & Management
1188,Finance & Management
1200,Finance & Management
1730,Finance & Management
1208,Finance & Management
1016,Fish & Fisheries
1577,Fish & Fisheries
1479,Fish & Fisheries
1345,Fish & Fisheries
1537,General Science (broad subject range)
1210,General Science (broad subject range)
1211,General Science (broad subject range)
1559,General Science (broad subject range)
1215,General Science (broad subject range)
1562,General Science (broad subject range)
1221,General Science (broad subject range)
1008,General Science (broad subject range)
1356,General Science (broad subject range)
1014,General Science (broad subject range)
1020,General Science (broad subject range)
1365,General Science (broad subject range)
1228,General Science (broad subject range)
1539,General Science (broad subject range)
1026,General Science (broad subject range)
1030,General Science (broad subject range)
1582,General Science (broad subject range)
1541,General Science (broad subject range)
1232,General Science (broad subject range)
1035,General Science (broad subject range)
1036,General Science (broad subject range)
1542,General Science (broad subject range)
1234,General Science (broad subject range)
1235,General Science (broad subject range)
1543,General Science (broad subject range)
1040,General Science (broad subject range)
1236,General Science (broad subject range)
1041,General Science (broad subject range)
1591,General Science (broad subject range)
1237,General Science (broad subject range)
1043,General Science (broad subject range)
1238,General Science (broad subject range)
1592,General Science (broad subject range)
1374,General Science (broad subject range)
1045,General Science (broad subject range)
1593,General Science (broad subject range)
1241,General Science (broad subject range)
1047,General Science (broad subject range)
1381,General Science (broad subject range)
1386,General Science (broad subject range)
1246,General Science (broad subject range)
1736,General Science (broad subject range)
1247,General Science (broad subject range)
1598,General Science (broad subject range)
1250,General Science (broad subject range)
1399,General Science (broad subject range)
1056,General Science (broad subject range)
1058,General Science (broad subject range)
1251,General Science (broad subject range)
1604,General Science (broad subject range)
1060,General Science (broad subject range)
1606,General Science (broad subject range)
1607,General Science (broad subject range)
1252,General Science (broad subject range)
1253,General Science (broad subject range)
1735,General Science (broad subject range)
1254,General Science (broad subject range)
1065,General Science (broad subject range)
1255,General Science (broad subject range)
1610,General Science (broad subject range)
1068,General Science (broad subject range)
1069,General Science (broad subject range)
1259,General Science (broad subject range)
1070,General Science (broad subject range)
1260,General Science (broad subject range)
1707,General Science (broad subject range)
1073,General Science (broad subject range)
1613,General Science (broad subject range)
1076,General Science (broad subject range)
1080,General Science (broad subject range)
1616,General Science (broad subject range)
1264,General Science (broad subject range)
1266,General Science (broad subject range)
1620,General Science (broad subject range)
1087,General Science (broad subject range)
1089,General Science (broad subject range)
1091,General Science (broad subject range)
1415,General Science (broad subject range)
1623,General Science (broad subject range)
1093,General Science (broad subject range)
1626,General Science (broad subject range)
1627,General Science (broad subject range)
1419,General Science (broad subject range)
1420,General Science (broad subject range)
1424,General Science (broad subject range)
1272,General Science (broad subject range)
1628,General Science (broad subject range)
1426,General Science (broad subject range)
1274,General Science (broad subject range)
1630,General Science (broad subject range)
1427,General Science (broad subject range)
1277,General Science (broad subject range)
1632,General Science (broad subject range)
1279,General Science (broad subject range)
1633,General Science (broad subject range)
1634,General Science (broad subject range)
1101,General Science (broad subject range)
1635,General Science (broad subject range)
1103,General Science (broad subject range)
1637,General Science (broad subject range)
1639,General Science (broad subject range)
1641,General Science (broad subject range)
1108,General Science (broad subject range)
1109,General Science (broad subject range)
1648,General Science (broad subject range)
1290,General Science (broad subject range)
1291,General Science (broad subject range)
1456,General Science (broad subject range)
1552,General Science (broad subject range)
1294,General Science (broad subject range)
1459,General Science (broad subject range)
1460,General Science (broad subject range)
1464,General Science (broad subject range)
1296,General Science (broad subject range)
1297,General Science (broad subject range)
1717,General Science (broad subject range)
1656,General Science (broad subject range)
1131,General Science (broad subject range)
1302,General Science (broad subject range)
1304,General Science (broad subject range)
1662,General Science (broad subject range)
1307,General Science (broad subject range)
1665,General Science (broad subject range)
1139,General Science (broad subject range)
1667,General Science (broad subject range)
1480,General Science (broad subject range)
1141,General Science (broad subject range)
1724,General Science (broad subject range)
1487,General Science (broad subject range)
1146,General Science (broad subject range)
1311,General Science (broad subject range)
1671,General Science (broad subject range)
1312,General Science (broad subject range)
1150,General Science (broad subject range)
1152,General Science (broad subject range)
1315,General Science (broad subject range)
1316,General Science (broad subject range)
1157,General Science (broad subject range)
1319,General Science (broad subject range)
1678,General Science (broad subject range)
1323,General Science (broad subject range)
1324,General Science (broad subject range)
1163,General Science (broad subject range)
1679,General Science (broad subject range)
1557,General Science (broad subject range)
1164,General Science (broad subject range)
1329,General Science (broad subject range)
1166,General Science (broad subject range)
1330,General Science (broad subject range)
1681,General Science (broad subject range)
1167,General Science (broad subject range)
1508,General Science (broad subject range)
1682,General Science (broad subject range)
1168,General Science (broad subject range)
1170,General Science (broad subject range)
1332,General Science (broad subject range)
1350,General Science (broad subject range)
1519,General Science (broad subject range)
1686,General Science (broad subject range)
1195,General Science (broad subject range)
1196,General Science (broad subject range)
1198,General Science (broad subject range)
1524,General Science (broad subject range)
1341,General Science (broad subject range)
1205,General Science (broad subject range)
1529,General Science (broad subject range)
1695,General Science (broad subject range)
1346,General Science (broad subject range)
1535,General Science (broad subject range)
1536,General Science (broad subject range)
1537,Health
1558,Health
1211,Health
1216,Health
1562,Health
1217,Health
1218,Health
1219,Health
1220,Health
1565,Health
1566,Health
1222,Health
1005,Health
1569,Health
1011,Health
1012,Health
1570,Health
1224,Health
1571,Health
1013,Health
1014,Health
1573,Health
1701,Health
1362,Health
1017,Health
1363,Health
1574,Health
1019,Health
1020,Health
1228,Health
1022,Health
1023,Health
1579,Health
1033,Health
1034,Health
1231,Health
1232,Health
1036,Health
1587,Health
1369,Health
1234,Health
1235,Health
1038,Health
1039,Health
1543,Health
1703,Health
1704,Health
1372,Health
1373,Health
1040,Health
1041,Health
1237,Health
1043,Health
1238,Health
1044,Health
1374,Health
1593,Health
1595,Health
1380,Health
1382,Health
1383,Health
1386,Health
1049,Health
1248,Health
1597,Health
1597,Health
1390,Health
1052,Health
1599,Health
1053,Health
1600,Health
1393,Health
1394,Health
1250,Health
1055,Health
1398,Health
1056,Health
1604,Health
1064,Health
1252,Health
1735,Health
1254,Health
1256,Health
1067,Health
1068,Health
1261,Health
1075,Health
1405,Health
1409,Health
1084,Health
1264,Health
1617,Health
1266,Health
1547,Health
1411,Health
1623,Health
1419,Health
1420,Health
1421,Health
1422,Health
1423,Health
1097,Health
1628,Health
1629,Health
1274,Health
1275,Health
1103,Health
1433,Health
1104,Health
1281,Health
1106,Health
1107,Health
1441,Health
1442,Health
1444,Health
1109,Health
1642,Health
1644,Health
1447,Health
1448,Health
1645,Health
1449,Health
1450,Health
1453,Health
1287,Health
1646,Health
1647,Health
1289,Health
1457,Health
1459,Health
1462,Health
1651,Health
1463,Health
1553,Health
1465,Health
1296,Health
1127,Health
1298,Health
1470,Health
1656,Health
1300,Health
1131,Health
1475,Health
1476,Health
1134,Health
1721,Health
1665,Health
1137,Health
1139,Health
1668,Health
1308,Health
1480,Health
1482,Health
1309,Health
1669,Health
1724,Health
1142,Health
1483,Health
1484,Health
1310,Health
1143,Health
1725,Health
1144,Health
1486,Health
1487,Health
1146,Health
1490,Health
1491,Health
1147,Health
1672,Health
1493,Health
1676,Health
1150,Health
1554,Health
1151,Health
1152,Health
1315,Health
1316,Health
1158,Health
1322,Health
1324,Health
1162,Health
1502,Health
1679,Health
1503,Health
1326,Health
1164,Health
1327,Health
1328,Health
1506,Health
1680,Health
1727,Health
1509,Health
1169,Health
1332,Health
1171,Health
1174,Health
1684,Health
1175,Health
1180,Health
1334,Health
1183,Health
1335,Health
1685,Health
1185,Health
1187,Health
1189,Health
1336,Health
1338,Health
1194,Health
1520,Health
1728,Health
1197,Health
1521,Health
1689,Health
1525,Health
1341,Health
1342,Health
1203,Health
1204,Health
1530,Health
1696,Health
1531,Health
1532,Health
1348,Health
1734,Health
1467,History
1132,History
1666,History
1513,History
1347,History
1697,History
1001,Humanities (broad subject range)
1538,Humanities (broad subject range)
