"id","work_id"
29465,1975532496
29466,2102768097
29467,2030429730
29468,1989122151
29459,2090085602
29460,2089051178
29461,2014523924
29462,2016504837
29463,2084697717
29436,1969831085
29437,2056613958
29438,2026471427
29439,2062322464
29440,1983572592
29441,2074904168
29442,4252112299
29443,2017343005
29444,1965668628
29445,2093736990
29446,2053448523
29447,2026900923
29448,1971418877
29449,2085758756
29450,1996839564
29453,1964779041
29454,1993297570
29455,2027388754
29456,2055247859
29457,2050352367
29458,2037707513
29475,2080550962
29476,2077774940
29477,2080748372
29478,2025852030
29479,1963595214
29480,2027806274
29481,2015977546
29483,4214680961
29484,2054365196
29485,2102690869
29486,2027804464
29487,4251835664
29488,2070754400
29489,2000686367
29490,2098619894
29491,2043369370
29492,2097870839
29493,2059936454
29494,2027192306
29497,2059219684
29498,2092366662
29499,2087702776
29501,1977461369
29502,1984025977
29503,2027582094
29508,4205168559
29509,1987932772
29510,2036107259
29511,2002990388
29512,2062561389
29513,2008763463
29514,2012351899
29515,2013476080
29517,2067464025
29518,2091840998
29519,2013771964
29520,2063428521
29522,1995548995
29524,1982455639
29526,2039515669
29527,1968019870
29555,1997796301
29556,2017972024
29560,2134016807
29557,1978922689
29558,2008329915
29559,1977211910
29565,1971488861
29567,1986025682
29568,3123550359
29569,2077682749
29573,1966859531
29574,2071858586
29576,2087945220
29577,2057390292
29578,2007741318
29580,2075864724
29582,1985797823
29583,2042479511
29584,1978860578
29585,2000159263
29588,2031789083
29589,2025693352
29590,1970265422
29591,2066513922
29592,1985539156
29593,1990595238
29500,2011166457
29564,2011206013
29566,1990421624
29595,2053794342
29599,1988671385
29600,4238126911
29601,2092412541
29602,2060182254
29603,2065019277
29604,2016568116
29605,2090284590
29594,4206024782
29581,1508986523
29607,2045120829
29451,2246352537
29575,1991563089
159879,2585366250
159876,2585288703
159869,2613561940
159886,2591722585
159891,2624718975
159875,2604503557
159888,2599623475
159885,2599862500
159882,2608952549
159880,2726278867
161501,2752297206
161502,2754534156
165478,2763929689
165477,2761699810
165479,2770385937
165481,2777528221
165480,2784804807
167702,2794348607
167705,2791894774
167704,2791199851
169970,2792797089
171679,2799657029
176250,2807017447
176240,2811143803
176246,2806391569
176243,2810153572
176244,2809227004
176253,2832136006
176254,2884851271
176239,2883136235
176249,2883964524
176241,2884071657
182705,2902975131
182706,2896100319
182707,2902133999
182699,2901192737
182703,2900554270
233963,4282000521
70262,2060689687
70261,2043949253
70256,2063220895
95310,1990194407
70260,2073709453
70257,1971307083
70259,2034239666
70258,2019831228
95309,2035100546
95306,2072396655
95313,2052075704
95312,2041716347
95302,2017740112
95307,2007214551
95304,1985382775
95305,2083386940
95311,2050975655
95319,2120295542
95318,1978625127
95317,1527419762
95316,2024269496
95315,2081177612
95314,2026196620
95328,1971079933
95325,2012979007
95323,2087477978
95321,2029399449
95326,2053390102
95327,1965563070
95329,2034987458
95330,2139212861
95324,2039237098
95334,2060431136
95332,2056269997
95335,2126124197
95333,1963630360
95331,2026488243
95336,2079636329
95337,2049560901
113087,2006469471
113088,2035857606
113089,2040618040
113070,2017338020
113068,2053635102
113069,2036388211
113071,2054959033
113091,2011432035
113083,1982315518
113102,2059237321
113100,2012551964
113097,1984716544
113101,2017071671
113098,2074491737
113094,2012641461
113109,2085225299
113110,2058080144
113115,2022842929
113112,1963555317
113111,1996061326
113113,2016932681
113117,2029267799
113114,2057116391
111704,1980158447
111710,1965591478
111705,2058260217
111694,2022591974
111707,2035681616
111700,2030197536
111702,1988172082
111714,2081722330
118647,2058900637
118649,1518931529
118648,2033401007
118650,1994423792
118653,2022262564
118646,2079205021
118642,2024686323
118644,2052549587
118643,1988853260
118651,2091677586
118645,2042410969
118652,2092350099
121953,2081318607
121959,2080102099
121956,2084921590
121954,2059329754
121955,1990045215
121951,1968068788
121958,2076002069
121957,2028286436
121952,1980839850
167475,2323195790
167455,2334052532
167480,2333795686
167604,2324728839
167592,2318019216
167458,2314550661
167459,2331541178
167454,2334611118
167472,2324023882
167471,2315515807
167474,2329676415
167487,2314323998
167489,2328329177
167594,2791201196
167595,2320706923
167478,2335139000
167605,2322806421
167490,2323095930
168153,2333564533
168156,2319873604
168155,2329274228
169444,2314211762
168169,2332647508
168172,2322115337
168166,2316285351
168170,2329557528
168167,2335385859
169441,2321226593
169443,2314973952
169494,2314144118
169495,2325470405
168174,2328120997
169442,2330377981
168173,2322921196
168912,2316663228
170027,2330260329
170018,2331741515
170056,2314201670
168906,2317889918
170055,3164739425
170020,2321725508
170031,2329472248
168892,2330091361
168900,2316657092
170029,2312588153
170057,2327705946
170042,2313270727
168789,2323372800
168798,2316463818
170054,2317619157
168775,2327264221
168782,2091744270
168888,2313532064
168774,2318949061
168891,2333548424
168773,2331032500
168777,2320618454
168880,2320046855
168898,2335728680
168943,2330918303
