Database_ID,Title,Authors,Year,Journal,Country_Source,DOI,URL,Keywords,Volume,Issue,Database
208321,Rice husk ash (RHA) and palm oil fuel ash (POFA) and soaking times: analysis of compressive strength of porcelain ceramics,Hassan Usman Jamo; Mohamad Zaky Noh; Ibrahim Dauda Umar; Aminu Musa Liman; Salisu Abdu,2021,Science World Journal,Nigeria,,https://www.ajol.info/index.php/swj/article/view/208321,Compressive strength; Porcelain; Ceramics; XRF; XRD,14.0,1,AJOL
209328,Reliability Evaluation of Compaction Water Content of Plantain Peel Ash Treated Lateritic Soil,K. Ishola; O.A. Olawuyi; P. Yohanna; A.A. Bello; R.O. Sani; O.O. Akin,2021,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v18i1.7,https://www.ajol.info/index.php/njtd/article/view/209328,Coefficient of variation; compaction water content; lateritic soil; plantain peel ash; reliability index,18.0,1,AJOL
212519,A Review of Some Agricultural Wastes in Nigeria for Sustainability in the Production of Structural Concrete,C. Fapohunda; A. Kilani; B. Adigo; L. Ajayi; B. Famodimu; O. Oladipupo; A. Jeje,2021,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v18i2.1,https://www.ajol.info/index.php/njtd/article/view/212519,Agricultural waste; Compressive strength; Pozzolans; Structure; Sustainability,18.0,2,AJOL
213780,Influence of Delay after Mixing on Compaction Characteristics of Cement- Locust Bean Waste Ash Modified Lateritic Soil,Adrian. O. Eberemu; Muritala. M. Abdullahi; Kolawole. J. Osinubi,2021,"Journal of Applied Science, Engineering and Technology",Nigeria,,https://www.ajol.info/index.php/jaset/article/view/213780,Compaction; Delay; Lateritic soils; Locust bean waste ash,15.0,1,AJOL
216970,Effects of Concrete Grades on Strength Characteristics of Metakaolin Modified Recycled Aggregate Concrete,A.U. Adebanjo; B.I.O. Dahunsi; J.O. Labiran,2021,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v18i3.3,https://www.ajol.info/index.php/njtd/article/view/216970,,18.0,3,AJOL
216978,Deltaic Lateritic Soil in 1:5:11 Mix Design for Producing Controlled Low-Strength Material (CLSM) for Pavement Backfill,J.A. Oke,2021,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v18i3.9,https://www.ajol.info/index.php/njtd/article/view/216978,,18.0,3,AJOL
221229,"Influence of Increasing Cement Content on some Geotechnical Properties of selected Lateritic Soils of Western Niger Delta on Sapele-Agbor Road, Nigeria",F.C. Ugbe; K.N. Nwakaji; E.A. Emioge,2022,Journal of Applied Sciences and Environmental Management,Nigeria,10.4314/jasem.v25i11.6,https://www.ajol.info/index.php/jasem/article/view/221229,,25.0,11,AJOL
225225,Application of statistical model for predicting the compressive strength of sandcretes made with different fine aggregates available in Nsukka,D.O. Erakpoweri; N.H. Onah,2022,Nigerian Journal of Technology,Nigeria,10.4314/njt.v41i1.1,https://www.ajol.info/index.php/njt/article/view/225225,Cement; Compressive Strength; Fine Aggregate; Model and Sandcrete,41.0,1,AJOL
225582,Efficiency of curing methods on some properties of sugar cane bagasse ash concrete,N.D. Usman; A.I. Tiamiyu; M.N. Isa; A.A. Maigana; J. Musa,2022,FUTY Journal of the Environment,Nigeria,,https://www.ajol.info/index.php/fje/article/view/225582,Concrete; Curing Method; Efficiency; Properties; Sugar Cane Bagasse Ash,15.0,2,AJOL
225898,Mechanical properties of geopolymer concrete with varying cement content using flyash and ground granulated blast furnace slag,P. Ashveenkumar; M. Preethi; P. Prashanth,2022,"International Journal of Engineering, Science and Technology",Nigeria,10.4314/ijest.v13i4.7,https://www.ajol.info/index.php/ijest/article/view/225898,Geopolymer; concrete; mechanical properties; sodium hydroxide; sodium silicate; GGBS; flyash,13.0,4,AJOL
226016,"Quality assessment of commercial sandcrete blocks in Minna Metropolis, Niger State",M. Abubakar; V.F Omotoriogun,2022,Nigerian Journal of Technology,Nigeria,10.4314/njt.v41i2.3,https://www.ajol.info/index.php/njt/article/view/226016,Nigerian Building Code; Nigerian Industrial Standard; Sandcrete Blocks; Quality Assessment,41.0,2,AJOL
226273,Performance assessment of mechanical and durability properties of cupola slag geopolymer concrete with fly and rice husk ashes,Stephen Adeyemi Alabi; Jeffrey Mahachi,2022,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v19i1.4,https://www.ajol.info/index.php/njtd/article/view/226273,Chloride ion; Compressive strength; Cupola furnace slag; Geopolymer concrete; Pozzolans,19.0,1,AJOL
226490,Improvement of porcelain physical properties through the substitution of quartz element with rice husk ash and palm oil fuel ash,H.U. Jamo; I.D. Umar; S. Abdu; Zainab Ali Tambalo; Sani Abdulkarim; Ibrahim T. Salisu; Aminu Musa Liman; M.B. Abdullahi; M. Izzudden,2022,Science World Journal,Nigeria,,https://www.ajol.info/index.php/swj/article/view/226490,Feldspar; Kaolin; POFA; Quartz; RHA,17.0,1,AJOL
226618,The Potentials of Bamboo-Based Agroforestry Systems in Improving the Productivity of Tropical African Agricultural Systems,A. Addo-Danso; P. Amankwaa-Yeboah,2022,Agricultural and Food Science Journal of Ghana,Ghana,10.4314/afsjg.v14i1.11,https://www.ajol.info/index.php/afsjg/article/view/226618,Agricultural productivity; Agricultural systems; Bamboo; Bamboo-based systems; Tropical Africa,14.0,1,AJOL
226971,Effect of Hybrid Fillers of Bamboo Fiber and Commercial Glass Fiber on High Density Polyethylene Matrix,J. O. Oboh; D. Maliki; K. K. Ajekwene; O. Salako,2022,Journal of Applied Sciences and Environmental Management,Nigeria,10.4314/jasem.v26i5.2,https://www.ajol.info/index.php/jasem/article/view/226971,Melt blending; hybrid composites; bamboo fibre; glass fibre; HDPE; tensile strength,26.0,5,AJOL
235828,Rice husk ash reinforced natural rubber composites: effect of benzene diazonium salt treatment.,P. A. Ubi; P. U. Adah; N. A. Ademoh; A. A. Salawu; A. B. Hassan; J. D. Dashe; S. W. Oyeyemi,2022,Nigerian Journal of Technology,Nigeria,10.4314/njt.v41i5.8,https://www.ajol.info/index.php/njt/article/view/235828,Rice husk ash; Silica; Biocomposite; Benzene diazonium salt,41.0,5,AJOL
238743,Effect of periwinkle shell on the physical and mechanical properties of sandcrete block,Iyinoluwa E. E. Davies; Emmanuel M. Adigio,2022,Nigerian Journal of Technological Research,Nigeria,,https://www.ajol.info/index.php/njtr/article/view/238743,Sandcrete blocks; engineering properties; aggregate materials; sand; periwinkle shells,17.0,1,AJOL
238938,"Determination of Sugars, Amino Acids, pH and Alcohol in Bamboo Beverage from Southern Highlands, Tanzania",Lilian D. Kaale,2022,Tanzania Journal of Science,Tanzania,10.4314/tjs.v48i4.18,https://www.ajol.info/index.php/tjs/article/view/238938,Bamboo beverage; ulanzi; amino acids; sugars; alcohol content,48.0,4,AJOL
242257,Implementation of pozzolanic cement based on activated natural clay (ecocement): technical challenges and normative aspect,François Ganon; Ouanmini Bobet; Alain Ignassou Djinet; Mianpereum Tarkodjiel,2023,International Journal of Biological and Chemical Sciences,Cameroon,,https://www.ajol.info/index.php/ijbcs/article/view/242257,,16.0,5,AJOL
